Regija,long,lat,order,hole,piece,id,group
kr,13.7787981,46.52010727,171,FALSE,1,0,0.1
kr,13.7831955,46.5142746,172,FALSE,1,0,0.1
kr,13.78324223,46.51421356,173,FALSE,1,0,0.1
kr,13.7898674,46.50984573,174,FALSE,1,0,0.1
kr,13.79448509,46.50825882,175,FALSE,1,0,0.1
kr,13.79473495,46.50817108,176,FALSE,1,0,0.1
kr,13.79555798,46.50788879,177,FALSE,1,0,0.1
kr,13.80468178,46.50802612,178,FALSE,1,0,0.1
kr,13.8141222,46.50770187,179,FALSE,1,0,0.1
kr,13.8237009,46.5131073,180,FALSE,1,0,0.1
kr,13.82577705,46.51446152,181,FALSE,1,0,0.1
kr,13.82958603,46.5169487,182,FALSE,1,0,0.1
kr,13.83436966,46.51965714,183,FALSE,1,0,0.1
kr,13.84534168,46.5176506,184,FALSE,1,0,0.1
kr,13.84701729,46.51734543,185,FALSE,1,0,0.1
kr,13.85703754,46.51660156,186,FALSE,1,0,0.1
kr,13.86451054,46.51721573,187,FALSE,1,0,0.1
kr,13.87491608,46.52029419,188,FALSE,1,0,0.1
kr,13.88488674,46.52324295,189,FALSE,1,0,0.1
kr,13.8924551,46.521595,190,FALSE,1,0,0.1
kr,13.89735794,46.52052689,191,FALSE,1,0,0.1
kr,13.90514755,46.52096176,192,FALSE,1,0,0.1
kr,13.90675068,46.5210495,193,FALSE,1,0,0.1
kr,13.91694546,46.52070618,194,FALSE,1,0,0.1
kr,13.92388535,46.51779175,195,FALSE,1,0,0.1
kr,13.92745876,46.51629257,196,FALSE,1,0,0.1
kr,13.93996239,46.5120697,197,FALSE,1,0,0.1
kr,13.94521713,46.51088715,198,FALSE,1,0,0.1
kr,13.94936562,46.50995636,199,FALSE,1,0,0.1
kr,13.95653057,46.50780106,200,FALSE,1,0,0.1
kr,13.95956802,46.50481796,201,FALSE,1,0,0.1
kr,13.9656868,46.49880981,202,FALSE,1,0,0.1
kr,13.97436237,46.49752808,203,FALSE,1,0,0.1
kr,13.97543621,46.49737167,204,FALSE,1,0,0.1
kr,13.97620678,46.49725723,205,FALSE,1,0,0.1
kr,13.98088932,46.49656677,206,FALSE,1,0,0.1
kr,13.98872566,46.49148178,207,FALSE,1,0,0.1
kr,13.99217224,46.48951721,208,FALSE,1,0,0.1
kr,13.99510574,46.48784637,209,FALSE,1,0,0.1
kr,13.99596977,46.48783493,210,FALSE,1,0,0.1
kr,13.99833775,46.48780441,211,FALSE,1,0,0.1
kr,14.00442028,46.48471832,212,FALSE,1,0,0.1
kr,14.00878525,46.48250198,213,FALSE,1,0,0.1
kr,14.00944233,46.4821701,214,FALSE,1,0,0.1
kr,14.01130962,46.48122025,215,FALSE,1,0,0.1
kr,14.01245213,46.48064041,216,FALSE,1,0,0.1
kr,14.0143795,46.48218155,217,FALSE,1,0,0.1
kr,14.01878452,46.48570251,218,FALSE,1,0,0.1
kr,14.02025604,46.48687744,219,FALSE,1,0,0.1
kr,14.02763653,46.48922729,220,FALSE,1,0,0.1
kr,14.02923584,46.48973846,221,FALSE,1,0,0.1
kr,14.02981472,46.49002457,222,FALSE,1,0,0.1
kr,14.0396452,46.4948616,223,FALSE,1,0,0.1
kr,14.05177689,46.49197006,224,FALSE,1,0,0.1
kr,14.06044579,46.4899025,225,FALSE,1,0,0.1
