"TIME","GEO","INDIC_DE","UNIT","Value","Flag and Footnotes"
"2012","Spain","Infant mortality rate","Rate","3.1",""
"2012","France","Infant mortality rate","Rate","3.5",""
"2012","Croatia","Infant mortality rate","Rate","3.6",""
"2012","Italy","Infant mortality rate","Rate","2.9",""
"2012","Cyprus","Infant mortality rate","Rate","3.5",""
"2012","Latvia","Infant mortality rate","Rate","6.3",""
"2012","Lithuania","Infant mortality rate","Rate","3.9",""
"2012","Luxembourg","Infant mortality rate","Rate","2.5",""
"2012","Hungary","Infant mortality rate","Rate","4.9",""
"2012","Malta","Infant mortality rate","Rate","5.3",""
"2012","Netherlands","Infant mortality rate","Rate","3.7",""
"2012","Austria","Infant mortality rate","Rate","3.2",""
"2012","Poland","Infant mortality rate","Rate","4.6",""
"2012","Portugal","Infant mortality rate","Rate","3.4",""
"2012","Romania","Infant mortality rate","Rate","9.0",""
"2012","Slovenia","Infant mortality rate","Rate","1.6",""
"2012","Slovakia","Infant mortality rate","Rate","5.8",""
"2012","Finland","Infant mortality rate","Rate","2.4",""
"2012","Sweden","Infant mortality rate","Rate","2.6",""
"2012","Iceland","Infant mortality rate","Rate","1.1",""
"2012","Liechtenstein","Infant mortality rate","Rate","8.4",""
"2012","Norway","Infant mortality rate","Rate","2.5",""
"2012","Switzerland","Infant mortality rate","Rate","3.6",""
"2012","United Kingdom","Infant mortality rate","Rate","4.0",""
"2012","Montenegro","Infant mortality rate","Rate","4.4",""
"2013","Belgium","Infant mortality rate","Rate","3.5",""
"2013","Bulgaria","Infant mortality rate","Rate","7.3",""
"2013","Czechia","Infant mortality rate","Rate","2.5",""
"2013","Denmark","Infant mortality rate","Rate","3.5",""
"2013","Germany (until 1990 former territory of the FRG)","Infant mortality rate","Rate","3.3",""
"2013","Estonia","Infant mortality rate","Rate","2.1",""
"2013","Ireland","Infant mortality rate","Rate","3.6",""
"2013","Greece","Infant mortality rate","Rate","3.7",""
"2013","Spain","Infant mortality rate","Rate","2.7",""
"2013","France","Infant mortality rate","Rate","3.6",""
"2013","Croatia","Infant mortality rate","Rate","4.1",""
"2013","Italy","Infant mortality rate","Rate","2.9",""
"2013","Cyprus","Infant mortality rate","Rate","1.6",""
"2013","Latvia","Infant mortality rate","Rate","4.4",""
"2013","Lithuania","Infant mortality rate","Rate","3.7",""
"2013","Luxembourg","Infant mortality rate","Rate","3.9",""
