"TIME","GEO","ICCS","LEG_STAT","SEX","UNIT","Value","Flag and Footnotes"
"2009","Netherlands","Rape","Convicted person","Total","Number","144",""
"2009","Netherlands","Sexual assault","Convicted person","Total","Number","1,065",""
"2009","Austria","Intentional homicide","Convicted person","Total","Number","20",""
"2009","Austria","Rape","Convicted person","Total","Number","113",""
"2009","Austria","Sexual assault","Convicted person","Total","Number","526",""
"2009","Poland","Intentional homicide","Convicted person","Total","Number","344",""
"2009","Poland","Rape","Convicted person","Total","Number","898",""
"2009","Poland","Sexual assault","Convicted person","Total","Number","312",""
"2009","Portugal","Intentional homicide","Convicted person","Total","Number","160",""
"2009","Portugal","Rape","Convicted person","Total","Number","54",""
"2009","Portugal","Sexual assault","Convicted person","Total","Number","302",""
"2009","Romania","Intentional homicide","Convicted person","Total","Number","767",""
"2009","Romania","Rape","Convicted person","Total","Number","387",""
"2009","Romania","Sexual assault","Convicted person","Total","Number","149",""
"2009","Slovenia","Intentional homicide","Convicted person","Total","Number","23",""
"2009","Slovenia","Rape","Convicted person","Total","Number","21",""
"2009","Slovenia","Sexual assault","Convicted person","Total","Number","85",""
"2009","Slovakia","Intentional homicide","Convicted person","Total","Number","46",""
"2009","Slovakia","Rape","Convicted person","Total","Number","37",""
"2009","Slovakia","Sexual assault","Convicted person","Total","Number","39",""
"2009","Finland","Intentional homicide","Convicted person","Total","Number","73",""
"2009","Finland","Rape","Convicted person","Total","Number","119",""
"2009","Finland","Sexual assault","Convicted person","Total","Number","376",""
"2009","Sweden","Intentional homicide","Convicted person","Total","Number","150",""
"2009","Sweden","Rape","Convicted person","Total","Number","410",""
"2009","Sweden","Sexual assault","Convicted person","Total","Number","554",""
"2009","Iceland","Intentional homicide","Convicted person","Total","Number",":",""
"2009","Iceland","Rape","Convicted person","Total","Number",":",""
"2009","Iceland","Sexual assault","Convicted person","Total","Number",":",""
"2009","Liechtenstein","Intentional homicide","Convicted person","Total","Number",":",""
"2009","Liechtenstein","Rape","Convicted person","Total","Number",":",""
"2009","Liechtenstein","Sexual assault","Convicted person","Total","Number",":",""
"2009","Norway","Intentional homicide","Convicted person","Total","Number","23",""
"2009","Norway","Rape","Convicted person","Total","Number","161",""
"2009","Norway","Sexual assault","Convicted person","Total","Number","238",""
"2009","Switzerland","Intentional homicide","Convicted person","Total","Number","36",""
"2009","Switzerland","Rape","Convicted person","Total","Number","135",""
"2009","Switzerland","Sexual assault","Convicted person","Total","Number","697",""
"2009","England and Wales","Intentional homicide","Convicted person","Total","Number","376",""
"2009","England and Wales","Rape","Convicted person","Total","Number","997",""
"2009","England and Wales","Sexual assault","Convicted person","Total","Number","4,045",""
"2009","Scotland","Intentional homicide","Convicted person","Total","Number","52",""
