"TIME","GEO","AGEDEF","AGE","UNIT","SEX","Value","Flag and Footnotes"
"2007","Luxembourg","Age reached during the year","Total","Number","Males","8,967",""
"2007","Luxembourg","Age reached during the year","Total","Number","Females","7,708",""
"2007","Hungary","Age reached during the year","Total","Number","Total","24,361",""
"2007","Hungary","Age reached during the year","Total","Number","Males","13,653",""
"2007","Hungary","Age reached during the year","Total","Number","Females","10,708",""
"2007","Malta","Age reached during the year","Total","Number","Total","5,292",""
"2007","Malta","Age reached during the year","Total","Number","Males","3,295",""
"2007","Malta","Age reached during the year","Total","Number","Females","1,997",""
"2007","Netherlands","Age reached during the year","Total","Number","Total","116,819",""
"2007","Netherlands","Age reached during the year","Total","Number","Males","60,798",""
"2007","Netherlands","Age reached during the year","Total","Number","Females","56,021",""
"2007","Austria","Age reached during the year","Total","Number","Total","72,862","b"
"2007","Austria","Age reached during the year","Total","Number","Males","37,756",""
"2007","Austria","Age reached during the year","Total","Number","Females","35,106",""
"2007","Poland","Age reached during the year","Total","Number","Total","14,995",""
"2007","Poland","Age reached during the year","Total","Number","Males","8,503",""
"2007","Poland","Age reached during the year","Total","Number","Females","6,492",""
"2007","Portugal","Age reached during the year","Total","Number","Total","29,661",""
"2007","Portugal","Age reached during the year","Total","Number","Males","12,360",""
"2007","Portugal","Age reached during the year","Total","Number","Females","17,301",""
"2007","Romania","Age reached during the year","Total","Number","Total",":",""
"2007","Romania","Age reached during the year","Total","Number","Males",":",""
"2007","Romania","Age reached during the year","Total","Number","Females",":",""
"2007","Slovenia","Age reached during the year","Total","Number","Total","29,193",""
"2007","Slovenia","Age reached during the year","Total","Number","Males","23,659",""
"2007","Slovenia","Age reached during the year","Total","Number","Females","5,534",""
"2007","Slovakia","Age reached during the year","Total","Number","Total","8,624",""
"2007","Slovakia","Age reached during the year","Total","Number","Males","5,956",""
"2007","Slovakia","Age reached during the year","Total","Number","Females","2,668",""
"2007","Finland","Age reached during the year","Total","Number","Total","26,029",""
"2007","Finland","Age reached during the year","Total","Number","Males","13,747",""
"2007","Finland","Age reached during the year","Total","Number","Females","12,282",""
"2007","Sweden","Age reached during the year","Total","Number","Total","99,485",""
"2007","Sweden","Age reached during the year","Total","Number","Males","53,628",""
"2007","Sweden","Age reached during the year","Total","Number","Females","45,857",""
"2007","Iceland","Age reached during the year","Total","Number","Total","12,546",""
"2007","Iceland","Age reached during the year","Total","Number","Males","7,915",""
"2007","Iceland","Age reached during the year","Total","Number","Females","4,631",""
"2007","Liechtenstein","Age reached during the year","Total","Number","Total",":",""
"2007","Liechtenstein","Age reached during the year","Total","Number","Males",":",""
"2007","Liechtenstein","Age reached during the year","Total","Number","Females",":",""
"2007","Norway","Age reached during the year","Total","Number","Total","61,774",""
"2007","Norway","Age reached during the year","Total","Number","Males","35,927",""
"2007","Norway","Age reached during the year","Total","Number","Females","25,847",""
"2007","Switzerland","Age reached during the year","Total","Number","Total","165,634",""
"2007","Switzerland","Age reached during the year","Total","Number","Males","90,432",""
"2007","Switzerland","Age reached during the year","Total","Number","Females","75,202",""
"2007","United Kingdom","Age reached during the year","Total","Number","Total","526,714",""
"2007","United Kingdom","Age reached during the year","Total","Number","Males","285,987",""
"2007","United Kingdom","Age reached during the year","Total","Number","Females","240,726",""
"2007","Montenegro","Age reached during the year","Total","Number","Total",":",""
"2007","Montenegro","Age reached during the year","Total","Number","Males",":",""
"2007","Montenegro","Age reached during the year","Total","Number","Females",":",""
"2007","North Macedonia","Age reached during the year","Total","Number","Total",":",""
"2007","North Macedonia","Age reached during the year","Total","Number","Males",":",""
